name,system
F-14 Tomcat,PC
Force 21,Game Boy Color
Force 21,PC
Scorched 3D,Mac
Scorched 3D,PC
Scorched 3D,Linux
Super Star Wars: The Empire Strikes Back,Super Nintendo Entertainment System
Super Star Wars: The Empire Strikes Back,Wii Shop
Fort Boyard,Game Boy Color
Umihara Kawase: Shun - Second Edition,PlayStation
Mat Mania Challenge,Atari 7800
GuitarFreaks 3rdMIX & DrumMania 2ndMIX,PlayStation 2
Soldier of Fortune: Payback,Xbox 360
Soldier of Fortune: Payback,PlayStation 3
Soldier of Fortune: Payback,PC
Body Blows Galactic,Amiga
Legion: The Legend of Excalibur,PlayStation 2
Outlaw Golf: Holiday Golf,Xbox
FastCrawl,PC
Titan Quest,PC
Cosmic Wartoad,ZX Spectrum
Geheimprojekt DMSO,PC
Flowers Story: Fairy Quest,PC
ReVOLUTION,PC
"J.R.R. Tolkien's The Lord of the Rings, Vol. I",Amiga
"J.R.R. Tolkien's The Lord of the Rings, Vol. I",PC
S.L.A.I.,PlayStation 2
Die Biene Maja: Auf Der Klatschmohnwiese,Game Boy Color
Sakura Taisen 3: Pari wa Moete iru ka?,PlayStation 2
Sakura Taisen 3: Pari wa Moete iru ka?,Dreamcast
Sakura Taisen 3: Pari wa Moete iru ka?,PC
ECW Hardcore Revolution,PlayStation
ECW Hardcore Revolution,Dreamcast
ECW Hardcore Revolution,Nintendo 64
ECW Hardcore Revolution,Game Boy Color
Deer Napped,PC
Giant Killers,Dreamcast
Giant Killers,PC
Hover Force,PlayStation
Hover Force,Intellivision
Hover Force,Xbox Live Marketplace
Industrial Spy: Operation Espionage,Dreamcast
Hunter: The Reckoning - Redeemer,Xbox
Wolfchild,Amiga
Wolfchild,Game Gear
Wolfchild,Genesis
Wolfchild,Sega Master System
Wolfchild,Super Nintendo Entertainment System
Wolfchild,Atari ST
Wolfchild,Sega CD
Castlevania: The Adventure,Game Boy
Castlevania: The Adventure,Game Boy Color
Castlevania: The Adventure,Nintendo 3DS eShop
Cyberball,Amiga
Cyberball,Genesis
Cyberball,Lynx
Cyberball,Amstrad CPC
Cyberball,Atari ST
Cyberball,Commodore 64
Cyberball,ZX Spectrum
Cyberball,Nintendo Entertainment System
Cyberball,PC
Plots!,Atari 8-bit
Plots!,PC
Dragonfire,Atari 2600
Dragonfire,ColecoVision
Dragonfire,Intellivision
Dragonfire,PC
Prvá Akcia,ZX Spectrum
Links: Championship Course: Castlepines,PC
Crash Bandicoot 2: Cortex Strikes Back,PlayStation
Erevos,PC
BS Hacker: Zero Expansions,PC
Sea Hawk,Atari 2600
5 Days a Stranger,PC
Lotus Trilogy,Amiga
Lotus Trilogy,Amiga CD32
Shinobi II: The Silent Fury,Game Gear
Druid: Daemons of the Mind,PlayStation
Druid: Daemons of the Mind,PC
Fairlight,Amstrad CPC
Fairlight,Commodore 64
Fairlight,ZX Spectrum
Exit,PlayStation Portable
Exit,Xbox Live Marketplace
Exit,PlayStation Network (PSP)
Bonk's Revenge,Game Boy
Bonk's Revenge,TurboGrafx-16
Bonk's Revenge,Wii Shop
Bonk's Revenge,PlayStation Network (PS3)
Bonk's Revenge,PlayStation Network (PSP)
Gobliiins,Amiga
Gobliiins,Atari ST
Gobliiins,Mac
Gobliiins,PC
Delaware St. John: Volume 1: The Curse of Midnight Manor,PC
Fighter Destiny 2,Nintendo 64
Search for the Golden Dolphin,Mac
Search for the Golden Dolphin,PC
Resident Evil: Dead Aim,PlayStation 2
Touch Detective 2 1/2,Nintendo DS
Touch Detective 2 1/2,iPhone
Microsoft Adventure,Apple II
Microsoft Adventure,TRS-80
Microsoft Adventure,PC
Top Gun,Game Boy
Top Gun,Amstrad CPC
Top Gun,Atari ST
Top Gun,Commodore 64
Top Gun,ZX Spectrum
Top Gun,Nintendo Entertainment System
Top Gun,PC
Madden NFL 98,Genesis
Madden NFL 98,Super Nintendo Entertainment System
Madden NFL 98,PlayStation
Madden NFL 98,Saturn
Madden NFL 98,PC
Street Fighter Alpha 3 MAX,PlayStation Portable
The Sims 2: Open for Business,Mac
The Sims 2: Open for Business,PC
Speed Challenge: Jacques Villeneuve's Racing Vision,PlayStation 2
Speed Challenge: Jacques Villeneuve's Racing Vision,GameCube
Speed Challenge: Jacques Villeneuve's Racing Vision,PC
Frogger's Adventures 2: The Lost Wand,Game Boy Advance
Bulldog,Commodore 64
Classified: The Sentinel Crisis,Xbox
Doraemon: Nobita to Yousei no Kuni,Super Nintendo Entertainment System
Sesame Street 1 2 3/A B C,Nintendo Entertainment System
Prince of Persia 2: The Shadow & The Flame,Super Nintendo Entertainment System
Prince of Persia 2: The Shadow & The Flame,Mac
Prince of Persia 2: The Shadow & The Flame,PC
Sub Mission,Apple II
Sub Mission,PC
Final Stretch: Horse Racing Sim,Mac
Final Stretch: Horse Racing Sim,PC
Curious George: Downtown Adventure,Mac
Curious George: Downtown Adventure,PC
The Secrets of Alamut,PC
Quick Step,Atari 2600
The Sopranos: Road to Respect,PlayStation 2
Johnny Bazookatone,PlayStation
Johnny Bazookatone,3DO
Johnny Bazookatone,Saturn
Johnny Bazookatone,PC
Age of Sail,PC
The Simpsons Wrestling,PlayStation
Tail Concerto,PlayStation
The Honeymooners,PC
X-COM: em@il Games,PC
Deer Hunter,Mac
Deer Hunter,Game Boy Color
Deer Hunter,PC
Metal Gear Ac!d 2,PlayStation Portable
Avenger,Amstrad CPC
Avenger,Commodore 64
Avenger,ZX Spectrum
Midwinter 2: Flames of Freedom,Amiga
Midwinter 2: Flames of Freedom,Atari ST
Midwinter 2: Flames of Freedom,PC
Jump Start Spelling,Mac
Jump Start Spelling,PC
The Stalin Subway,PC
Netherworld,Amiga
Netherworld,Amstrad CPC
Netherworld,Atari ST
Netherworld,Commodore 64
Netherworld,ZX Spectrum
Netherworld,PC
3-D Brickaway,Commodore 64
3-D Brickaway,Atari 2600
3-D Brickaway,TRS-80 CoCo
America Daitouryou Senkyo,Nintendo Entertainment System
MayaQuest: The Mystery Trail,PC
Real Video Blackjack,PC
Heisei Shin Onigashima: Kouhen,Super Nintendo Entertainment System
Heisei Shin Onigashima: Kouhen,Wii Shop
Gearhead Garage,PC
El Misterio del Nilo,Amstrad CPC
El Misterio del Nilo,Commodore 64
El Misterio del Nilo,MSX
El Misterio del Nilo,ZX Spectrum
Lords of Magic: Legends of Urak,PC
Yendorian Tales Book I,PC
Dead Rising,Xbox 360
Final Fantasy Tactics Advance,Game Boy Advance
Air Raiders,Atari 2600
Secret of Evermore,Super Nintendo Entertainment System
Shining Force: The Sword of Hajya,Game Gear
Shining Force: The Sword of Hajya,Nintendo 3DS eShop
Mixed-Up Fairy Tales,PC
Switchball,Xbox Live Marketplace
Switchball,PlayStation Network (PS3)
Switchball,PC
Dreamlords,PC
Tom Clancy's Rainbow Six: Rogue Spear,Game Boy Advance
Tom Clancy's Rainbow Six: Rogue Spear,Mac
Tom Clancy's Rainbow Six: Rogue Spear,PlayStation
Tom Clancy's Rainbow Six: Rogue Spear,Dreamcast
Tom Clancy's Rainbow Six: Rogue Spear,PC
Vectorball,ZX Spectrum
Masters of the Universe: He-Man: Power of Greyskull,Game Boy Advance
Mortuum,PC
Tom Clancy's Ghost Recon,Mac
Tom Clancy's Ghost Recon,PlayStation 2
Tom Clancy's Ghost Recon,GameCube
Tom Clancy's Ghost Recon,Xbox
Tom Clancy's Ghost Recon,PC
Adventures in the Magic Kingdom,Nintendo Entertainment System
Life & Death 2: The Brain,PC
Blood Omen: Legacy of Kain,PlayStation
Blood Omen: Legacy of Kain,PlayStation Network (PS3)
Blood Omen: Legacy of Kain,PC
Blood Omen: Legacy of Kain,PlayStation Network (PSP)
Elevator,PC
Euro Club Manager 2005-2006,PC
Lakers vs. Celtics and the NBA Playoffs,Genesis
Lakers vs. Celtics and the NBA Playoffs,PC
Ark of Time,PlayStation
Ark of Time,PC
Maisy's Playhouse,Mac
Maisy's Playhouse,PC
Pump It Up : Prex 3,Arcade
Pump It Up : Prex 3,PC
El Cid,Amstrad CPC
El Cid,MSX
El Cid,ZX Spectrum
Racket Attack,Nintendo Entertainment System
Agassi Tennis Generation 2002,Game Boy Advance
8088 Othello,PC
Winter Olympics: Lillehammer '94,Amiga
Winter Olympics: Lillehammer '94,Game Boy
Winter Olympics: Lillehammer '94,Game Gear
Winter Olympics: Lillehammer '94,Genesis
Winter Olympics: Lillehammer '94,Sega Master System
Winter Olympics: Lillehammer '94,Super Nintendo Entertainment System
Winter Olympics: Lillehammer '94,PC
The Magic School Bus Explores Inside the Earth,Mac
The Magic School Bus Explores Inside the Earth,PC
Dinosaur Museum,Mac
Dinosaur Museum,PC
Bomberman Land Touch!,Nintendo DS
Kawasaki Jet Ski Watercraft,Mac
Kawasaki Jet Ski Watercraft,PC
Godzilla: Monster of Monsters,Nintendo Entertainment System
Higgledy Piggledy,ZX Spectrum
S3: Silent Storm - Sentinels,PC
Barge,Atari 8-bit
The Longest Journey,Mac
The Longest Journey,PC
1503 A.D.: The New World,PC
Metal Gear Solid: VR Missions,PlayStation
Metal Gear Solid: VR Missions,PC
Warlords: Battlecry,PC
Neverwinter Nights 2: Mask of the Betrayer,PC
Master Miner,PC
Arcana,Super Nintendo Entertainment System
Lü Bu yu Diao Chan,PC
Disney's Magical Quest Starring Mickey & Minnie,Game Boy Advance
Disney's Magical Quest Starring Mickey & Minnie,Super Nintendo Entertainment System
Capcom vs. SNK: Millennium Fight 2000,Dreamcast
Capcom vs. SNK: Millennium Fight 2000,Arcade
Zap't'Balls,Amstrad CPC
Muscle Car 2: American Spirit,PC
Amiga Champions,Amiga
Hotel Giant,PC
Pokémon Puzzle Challenge,Game Boy Color
Farland Saga: Toki no Michishirube,PlayStation
Farland Saga: Toki no Michishirube,PlayStation Network (PS3)
Farland Saga: Toki no Michishirube,PC
Farland Saga: Toki no Michishirube,PlayStation Network (PSP)
Hot Pixel,PlayStation Portable
Satori,PC
Brave Fencer Musashi,PlayStation
Brave Fencer Musashi,PlayStation Network (PS3)
Brave Fencer Musashi,PlayStation Network (PSP)
Sega GT 2002,Xbox
Artificial Dreams,Amiga
Artificial Dreams,Atari ST
USA East,PC
OutRun Europa,Amiga
OutRun Europa,Game Gear
OutRun Europa,Sega Master System
OutRun Europa,Amstrad CPC
OutRun Europa,Atari ST
OutRun Europa,Commodore 64
OutRun Europa,ZX Spectrum
Combat Command 2: Danger Forward,PC
Cubis 2,iPod
Cubis 2,PC
The Manhole,Mac
The Manhole,TurboGrafx-CD
The Manhole,PC
The Manhole,FM Towns
Shuttle,Amiga
Shuttle,Atari ST
Shuttle,PC
GAMES Interactive 2,PC
Dragon Ball Z: Budokai Tenkaichi 2,PlayStation 2
Dragon Ball Z: Budokai Tenkaichi 2,Wii
Mario Paint,Super Nintendo Entertainment System
Mario Paint,PC
Mario Paint,Satellaview
Formula 1 '98,PlayStation
RollerCoaster Tycoon 2: Wacky Worlds,PC
Dancing Stage Fever,PlayStation 2
Dancing Stage Fever,PlayStation
Sneaky Snakes,Game Boy
Crazy Cars,Amiga
Crazy Cars,Amstrad CPC
Crazy Cars,Atari ST
Crazy Cars,Commodore 64
Crazy Cars,MSX
Crazy Cars,ZX Spectrum
Crazy Cars,PC
Hundred Swords,Dreamcast
Hundred Swords,PC
El Matador,PC
Monsters,Dragon 32/64
Sargon II,Apple II
Sargon II,Commodore 64
Sargon II,Atari 8-bit
Sargon II,VIC-20
Binary Land,Game Boy Advance
Binary Land,MSX
Binary Land,Nintendo Entertainment System
Binary Land,Wii Shop
Binary Land,NEC PC-8801
Condemned: Criminal Origins,Xbox 360
Condemned: Criminal Origins,PC
BattleTech: The Crescent Hawks' Revenge,PC
Gold Rush!,Amiga
Gold Rush!,Apple II
Gold Rush!,Atari ST
Gold Rush!,Apple IIgs
Gold Rush!,PC
Mary-Kate and Ashley: Get a Clue!,Game Boy Color
Spear of Destiny Mission Disks - Mission 3: Ultimate Challenge,PC
Goof Ball,PC
Suikoden,PlayStation
Suikoden,Saturn
Suikoden,PlayStation Network (PS3)
Suikoden,PlayStation Network (PSP)
Naxat Open,TurboGrafx-16
Pokémon Pinball: Ruby & Sapphire,Game Boy Advance
OverBlood 2,PlayStation
Once Upon a Crime,PC
J.R.R Tolkien's Lord of the Rings - Volume One,Super Nintendo Entertainment System
Turtle Odyssey,PC
Parallax,Commodore 64
Persian Gulf Inferno,Amiga
Persian Gulf Inferno,Atari ST
Persian Gulf Inferno,Commodore 64
Skate or Die,Amstrad CPC
Skate or Die,Commodore 64
Skate or Die,ZX Spectrum
Skate or Die,Nintendo Entertainment System
Skate or Die,Apple IIgs
Skate or Die,PC
Oddballz: Your Wacky Computer Petz,PC
The Immortals of Terra: A Perry Rhodan Adventure,PC
Madden NFL 2001,PlayStation 2
Madden NFL 2001,PlayStation
Madden NFL 2001,Nintendo 64
Madden NFL 2001,Game Boy Color
Madden NFL 2001,PC
Hunting Unlimited 3,PC
Mis Ladrillos Interactivo,PC
Final Fantasy IX,PlayStation
Final Fantasy IX,PlayStation Network (PS3)
Final Fantasy IX,PlayStation Network (PSP)
Final Fantasy IX,PlayStation Network (Vita)
Adventure Series,Commodore 64
Adventure Series,Atari 8-bit
Adventure Series,TI-99/4A
Adventure Series,TRS-80
Adventure Series,PC
Dizzy: The Ultimate Cartoon Adventure,Amstrad CPC
Dizzy: The Ultimate Cartoon Adventure,Commodore 64
Dizzy: The Ultimate Cartoon Adventure,ZX Spectrum
Dante's Inferno,Commodore 64
Underworld: The Eternal War,PlayStation 2
Need for Speed: Porsche Unleashed,Game Boy Advance
Need for Speed: Porsche Unleashed,PlayStation
Need for Speed: Porsche Unleashed,PC
Infernal,Xbox 360
Infernal,PC
Robot Messiah,ZX Spectrum
Darts,PC
Sniper: Path of Vengeance,PC
Castle Kingdoms,Amiga
Ratchet & Clank: Size Matters,PlayStation Portable
Ratchet & Clank: Size Matters,PlayStation 2
Sesame Street Crayon: Opposites Attract,Amiga
Sesame Street Crayon: Opposites Attract,Apple II
Sesame Street Crayon: Opposites Attract,Commodore 64
Sesame Street Crayon: Opposites Attract,PC
Psybadek,PlayStation
Internal Section,PlayStation
Captain Comic II: Fractured Reality,PC
Robot Arena: Design & Destroy,PC
Mobile Suit Gundam: Zeonic Front,PlayStation 2
Need for Speed: Carbon,Mac
Need for Speed: Carbon,PlayStation 2
Need for Speed: Carbon,Xbox 360
Need for Speed: Carbon,GameCube
Need for Speed: Carbon,Xbox
Need for Speed: Carbon,PlayStation 3
Need for Speed: Carbon,Wii
Need for Speed: Carbon,Arcade
Need for Speed: Carbon,PC
South Park,PlayStation
South Park,Nintendo 64
South Park,PC
Red Baron II,PC
Great Escape,Atari 2600
Blue Max,Commodore 64
Blue Max,ZX Spectrum
Blue Max,Atari 8-bit
Super Puzzle Fighter II X for Matching Service,Dreamcast
Adventure,Atari 2600
Adventure,Xbox Live Marketplace
Adventure,PC
Adventure,Browser
Star Wars: Knights of the Old Republic II - The Sith Lords,Xbox
Star Wars: Knights of the Old Republic II - The Sith Lords,PC
Stargate,Game Boy
Stargate,Game Gear
Stargate,Genesis
Stargate,Super Nintendo Entertainment System
Fire Fly,Atari 2600
LoveChess: Age of Egypt,PC
Summer Challenge,Amiga
Summer Challenge,Atari ST
Summer Challenge,Commodore 64
Summer Challenge,PC
Arch Rivals,Game Gear
Arch Rivals,Genesis
Arch Rivals,Nintendo Entertainment System
Arch Rivals,Arcade
Kingpin: Life of Crime,PC
Zarathrusta,Amiga
Touchdown Football,Commodore 64
Touchdown Football,Atari 8-bit
Touchdown Football,Atari 7800
Touchdown Football,PC
1942: The Pacific Air War,PC
YūYū Hakusho: Makyō Toitsusen,Genesis
Aztec,Apple II
Aztec,Commodore 64
Aztec,Atari 8-bit
Wheel of Fortune: Junior Edition,Nintendo Entertainment System
The Goonies,Amstrad CPC
The Goonies,Apple II
The Goonies,Commodore 64
The Goonies,MSX
The Goonies,ZX Spectrum
The Goonies,Nintendo Entertainment System
The Goonies,Atari 8-bit
The Goonies,Famicom Disk System
C64 Classix,PC
Art of Fighting 3: The Path of The Warrior,PlayStation 2
Art of Fighting 3: The Path of The Warrior,Neo Geo
Art of Fighting 3: The Path of The Warrior,Neo Geo CD
Art of Fighting 3: The Path of The Warrior,Arcade
Wacky Funsters! The Geekwad's Guide to Gaming,PC
Disney/Pixar Cars: Mater-National Championship,Game Boy Advance
Disney/Pixar Cars: Mater-National Championship,PlayStation 2
Disney/Pixar Cars: Mater-National Championship,Xbox 360
Disney/Pixar Cars: Mater-National Championship,PlayStation 3
Disney/Pixar Cars: Mater-National Championship,Wii
Disney/Pixar Cars: Mater-National Championship,Nintendo DS
Disney/Pixar Cars: Mater-National Championship,PC
System Shock 2,PC
Cylu,Amstrad CPC
Cylu,Commodore 64
Cylu,ZX Spectrum
Höllenjob,PC
GUN,PlayStation 2
GUN,Xbox 360
GUN,GameCube
GUN,Xbox
GUN,PC
ToonCar,PC
Time Slaughter,PC
Sid Meier's Colonization,Amiga
Sid Meier's Colonization,Mac
Sid Meier's Colonization,PC
Project Buzz Bar,Amiga
"Ultima VII, Part Two: Serpent Isle",Mac
"Ultima VII, Part Two: Serpent Isle",PC
Colorix,Amiga
Musashi no Bouken,Nintendo Entertainment System
The Legend of Zelda: Link's Awakening DX,Game Boy Color
The Legend of Zelda: Link's Awakening DX,Nintendo 3DS eShop
TRICK-TRACK!,PC
Pulse Warrior,Commodore 64
Pulse Warrior,ZX Spectrum
Zool,Amiga
Zool,Game Boy
Zool,Game Gear
Zool,Genesis
Zool,Sega Master System
Zool,Super Nintendo Entertainment System
Zool,Atari ST
Zool,Jaguar
Zool,Amiga CD32
Zool,Arcade
Zool,PC
NES Open Tournament Golf,Nintendo Entertainment System
NES Open Tournament Golf,Arcade
NES Open Tournament Golf,Wii Shop
NES Open Tournament Golf,Nintendo 3DS eShop
Double Moon Densetsu,Nintendo Entertainment System
Every Extend Extra,PlayStation Portable
Dusk of the Gods,PC
"Buichi Terasawa's ""Takeru: Letter of the Law""",Mac
"Buichi Terasawa's ""Takeru: Letter of the Law""",PC
Icewind Dale II,PC
Eurofighter Typhoon,PC
Meine Tierarztpraxis in Australien,PC
Freedom Force vs The 3rd Reich,PC
Telengard,Apple II
Telengard,Commodore 64
Telengard,Atari 8-bit
Telengard,Commodore PET/CBM
Telengard,TRS-80
Telengard,PC
The Feeble Files,Amiga
The Feeble Files,Mac
The Feeble Files,PC
Stronghold 2,PC
Genji: Dawn of the Samurai,PlayStation 2
Marvel Super Heroes in War of the Gems,Super Nintendo Entertainment System
Harley-Davidson: Wheels of Freedom,PC
Burnin Rubber,Commodore 64
Schizm: Mysterious Journey,PC
Turbo Charge,Commodore 64
Skeleton+,Atari 2600
Buzz Bombers,Intellivision
Buzz Bombers,Xbox Live Marketplace
Buzz Bombers,PC
Buck Bumble,Nintendo 64
Nerves of Steel,PC
Drain Storm,PC
Battle Raper II: The Game,PC
Popcorn,PC
Pandora,Amiga
Pandora,Atari ST
Pandora,Commodore 64
Gingahyōryū Vifam,MSX
The Amazon Trail,Mac
The Amazon Trail,PC
Madness,Commodore 64
SEGA AGES 2500 Vol.1: Phantasy Star - Generation:1,PlayStation 2
Behind the Iron Gate,Amiga
Mayday: Conflict Earth,PC
The War Engine,PC
Dora the Explorer: Animal Adventures,PC
Narcissu,PC
Kung Fu Louie Vs. The Martial Art Posse,PC
R.I.P.: Strike Back,PC
Subnodule,Apple II
Hockey League Simulator 2,PC
Silkolene Honda Motocross GP,PC
Off-World Interceptor Extreme,PlayStation
Off-World Interceptor Extreme,3DO
Off-World Interceptor Extreme,Saturn
Rage Racer,PlayStation
Vegas Bandit,PC
NASCAR Craftsman Truck Series Racing,PC
Elf Bowling: Bocce Style,PC
Bugs Bunny in Double Trouble,Game Gear
Bugs Bunny in Double Trouble,Genesis
Ayrton Senna's Super Monaco GP II,Game Gear
Ayrton Senna's Super Monaco GP II,Genesis
Ayrton Senna's Super Monaco GP II,Sega Master System
Saboteur II,Amstrad CPC
Saboteur II,Commodore 64
Saboteur II,ZX Spectrum
Saboteur II,PC
Warrior Kings,Mac
Warrior Kings,PC
Player Manager 2,Amiga
Player Manager 2,PC
Xena: Warrior Princess - The Talisman of Fate,Nintendo 64
Booby Kids,Nintendo Entertainment System
Die Hard Trilogy 2: Viva Las Vegas,PlayStation
Die Hard Trilogy 2: Viva Las Vegas,PC
Super Mario 64 DS,Nintendo DS
Crystal Dragon,Amiga
RalliSport Challenge,Xbox
RalliSport Challenge,PC
Palamedes,Game Boy
Palamedes,MSX
Palamedes,Nintendo Entertainment System
Stell-A-Sketch/Okie Dokie,Atari 2600
Warship,Apple II
Warship,Atari ST
Warship,Commodore 64
Warship,Atari 8-bit
Warship,PC
Rex Ronan: Experimental Surgeon,Super Nintendo Entertainment System
S.T.U.N. Runner,Amiga
S.T.U.N. Runner,Lynx
S.T.U.N. Runner,Amstrad CPC
S.T.U.N. Runner,Atari ST
S.T.U.N. Runner,Commodore 64
S.T.U.N. Runner,ZX Spectrum
S.T.U.N. Runner,Arcade
S.T.U.N. Runner,PC
Monopoly Party,PlayStation 2
Monopoly Party,GameCube
Monopoly Party,Xbox
Sensible Soccer 2006,PlayStation 2
Sensible Soccer 2006,Xbox
Sensible Soccer 2006,PC
CellFighter,PC
Battle Beast,Mac
Battle Beast,PC
Kokotoni Wilf,Amstrad CPC
Kokotoni Wilf,Commodore 64
Kokotoni Wilf,ZX Spectrum
The Adventures of Cookie & Cream,PlayStation 2
The Adventures of Cookie & Cream,Nintendo DS
Motion Gravure Series: Kitagawa Tomomi,PlayStation 2
Mass Destruction,PlayStation
Mass Destruction,Saturn
Mass Destruction,PlayStation Network (PS3)
Mass Destruction,PC
Mass Destruction,PlayStation Network (PSP)
Disney's The Little Mermaid,Game Boy
Disney's The Little Mermaid,Nintendo Entertainment System
Reversi,Intellivision
Reversi,Xbox Live Marketplace
Ultra Flight Pack,PC
Battle Island,Commodore 64
Arkanoid 2000,PC
The Witch's Yarn,Mac
The Witch's Yarn,PC
Targhan,Amiga
Targhan,Atari ST
Targhan,PC
Alfred Chicken,Amiga
Alfred Chicken,Game Boy
Alfred Chicken,Super Nintendo Entertainment System
Alfred Chicken,Nintendo Entertainment System
Alfred Chicken,Amiga CD32
Stock Market: The Game,Amiga
Stock Market: The Game,PC
Mega Man X5,PlayStation 2
Mega Man X5,PlayStation
Mega Man X5,GameCube
Mega Man X5,PC
Tetripz,PC
Lot Lot,MSX
Lot Lot,Nintendo Entertainment System
Lot Lot,Arcade
Stormbringer,Amstrad CPC
Stormbringer,Atari ST
Stormbringer,Commodore 64
Stormbringer,ZX Spectrum
TrackMania,PC
Semper Fi,PC
Pref Club,PC
Pleiads,Atari 2600
Pleiads,Arcade
Tombs & Treasure,Nintendo Entertainment System
Tombs & Treasure,Saturn
Tombs & Treasure,PC
Tombs & Treasure,NEC PC-8801
Tombs & Treasure,NEC PC-9801
Tombs & Treasure,Sharp X1
Tombs & Treasure,FM-7
Bubba 'n' Stix,Amiga
Bubba 'n' Stix,Genesis
Bubba 'n' Stix,Amiga CD32
Black Panther,Commodore 64
Black Panther,Arcade
EverQuest: Lost Dungeons of Norrath,PC
Urban Champion,Game Boy Advance
Urban Champion,Nintendo Entertainment System
Urban Champion,Wii Shop
Urban Champion,Nintendo 3DS eShop
MegaRace: MR3,PlayStation 2
MegaRace: MR3,PC
TUMIKI Fighters,Mac
TUMIKI Fighters,PC
Terminator Revenge,Browser
Ben 10: Protector of Earth,PlayStation Portable
Ben 10: Protector of Earth,PlayStation 2
Ben 10: Protector of Earth,Wii
Ben 10: Protector of Earth,Nintendo DS
Final Fantasy X-2,PlayStation 2
Final Fantasy X-2,PlayStation Vita
Final Fantasy X-2,PlayStation Network (Vita)
Larn,Amiga
Larn,Atari ST
Larn,PC
Herc's Adventures,PlayStation
Herc's Adventures,Saturn
HappyLand Adventures,PC
Delicious Deluxe,PC
BogOut,PC
Realms of Arkania: Blade of Destiny + Star Trail,PC
Skullmonkeys,PlayStation
Seymour Goes to Hollywood,Amiga
Seymour Goes to Hollywood,Amstrad CPC
Seymour Goes to Hollywood,Atari ST
Seymour Goes to Hollywood,Commodore 64
Seymour Goes to Hollywood,ZX Spectrum
Seymour Goes to Hollywood,PC
Reign of Fire,PlayStation 2
Reign of Fire,GameCube
Reign of Fire,Xbox
Tom and Jerry: Fists of Furry,Nintendo 64
Tom and Jerry: Fists of Furry,PC
Scrabble Rack Attack,PC
Banana,Nintendo Entertainment System
Slayers,Super Nintendo Entertainment System
Slayers,NEC PC-9801
The Realm,PC
John Sinclair: Evil Attacks,PC
Microsoft Train Simulator: Heidi-Express,PC
ViColumn,VIC-20
Frankie Goes to Hollywood,Commodore 64
Frankie Goes to Hollywood,ZX Spectrum
Rising Sun: Imperial Strike,PC
TV Station Manager,Mac
TV Station Manager,PC
Wild Streets,Amiga
Wild Streets,Amstrad CPC
Wild Streets,Commodore 64
Wild Streets,PC
Tough Guy,PC
Formula 1 Championship Edition,PlayStation
Formula 1 Championship Edition,PC
The Magic of Scheherazade,Nintendo Entertainment System
Volleyball Xciting,PlayStation 2
The Computer Quiz,PC
Necronom,Amiga
Sam & Max Episode 202: Moai Better Blues,Mac
Sam & Max Episode 202: Moai Better Blues,Wii
Sam & Max Episode 202: Moai Better Blues,Xbox Live Marketplace
Sam & Max Episode 202: Moai Better Blues,PC
Sam & Max Episode 202: Moai Better Blues,iPhone
One Hundred and Eighty,ZX Spectrum
Mad Max,Nintendo Entertainment System
Astérix,Sega Master System
Pool Champion,PC
Quake II Mission Pack: Ground Zero,PC
Sandwarriors,PC
Advanced DOS Quiz,PC
Desert Speedtrap starring Road Runner and Wile E. Coyote,Game Gear
Desert Speedtrap starring Road Runner and Wile E. Coyote,Sega Master System
Backstreet Boys: Puzzles In Motion,PC
Wargamer's Choice: Strategy Six Pack,PC
Chopper Attack,Nintendo 64
Galleon,Xbox
Trivial Pursuit,Amiga
Trivial Pursuit,Amstrad CPC
Trivial Pursuit,Atari ST
Trivial Pursuit,Commodore 64
Trivial Pursuit,MSX
Trivial Pursuit,ZX Spectrum
Trivial Pursuit,Atari 8-bit
Trivial Pursuit,Amiga CD32
Trivial Pursuit,PC
Romancing SaGa 2,Super Nintendo Entertainment System
NHL 2K6,PlayStation 2
NHL 2K6,Xbox 360
NHL 2K6,Xbox
Star Ocean,Super Nintendo Entertainment System
Marble Blast,Mac
Marble Blast,PC
The Quest,Apple II
The Quest,Commodore 64
The Quest,Mac
The Quest,Atari 8-bit
Gungrave,PlayStation 2
Softporn Adventure,Apple II
Softporn Adventure,Atari 8-bit
Softporn Adventure,PC
A Snake's Life,PC
Sega Game Pack 4 in 1,Game Gear
Monty's Christmas Special,PC
Power,Amstrad CPC
Power,Commodore 64
Power,ZX Spectrum
Midway Campaign,Apple II
Midway Campaign,Commodore 64
Midway Campaign,Atari 8-bit
Midway Campaign,Commodore PET/CBM
Midway Campaign,TRS-80
Midway Campaign,PC
NFL Blitz 20-02,Game Boy Advance
NFL Blitz 20-02,PlayStation 2
NFL Blitz 20-02,GameCube
NFL Blitz 20-02,Xbox
Hired Guns,Amiga
Hired Guns,PC
Capcom Puzzle World,PlayStation Portable
Capcom Puzzle World,PlayStation Network (PSP)
G-O-D: Mezameyo to Yobu Koe ga Kikoe,Super Nintendo Entertainment System
Blood Plasma Pak,PC
ABPA Backgammon,Intellivision
Kaena,PlayStation 2
Psi-Ops: The Mindgate Conspiracy,PlayStation 2
Psi-Ops: The Mindgate Conspiracy,Xbox
Psi-Ops: The Mindgate Conspiracy,PC
Spear Resurrection,PC
Super Wing Commander,Mac
Super Wing Commander,3DO
Formula One 2003,PlayStation 2
Fairly OddParents: Breakin' Da Rules,Game Boy Advance
